,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,70,25521,6068723276816226480,个人账户2847,2019-01-01 01:30:43,还款
1,26,25547,2760530232530051310,个人账户4135,2019-01-01 11:00:57,ATM取款
2,17,25564,8173448813031303082,个人账户4500,2019-01-01 14:04:33,还款
3,89,25653,5105620285780572412,个人账户2147,2019-01-01 18:47:31,代扣
4,1616,27269,3040860326164267010,对公账户7171,2019-01-01 20:57:07,理财产品支出
5,2001,29270,7556448258887488431,个人账户2051,2019-01-02 07:14:52,ATM取款
6,43,29313,3040860326164267010,对公账户7171,2019-01-02 23:46:19,ATM取款
7,6361,35674,7225442486051870385,对公账户3745,2019-01-03 02:56:24,ATM取款
8,235,35909,4674613568681873473,对公账户2374,2019-01-03 04:40:04,还款
9,75,35984,6526386766103684323,个人账户5468,2019-01-03 12:11:31,代扣
