,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,76,45242,4848238248201008656,对公账户3556,2019-01-01 02:46:19,代扣
1,2619,47861,4506452052874828283,个人账户3627,2019-01-01 09:12:57,ATM取款
2,17820,65681,6321884201064420254,个人账户4441,2019-01-01 09:34:33,还款
3,475,66156,8208084885872523311,对公账户5500,2019-01-01 23:28:19,理财产品支出
4,4483,70639,2170454182021032726,个人账户5256,2019-01-02 01:37:55,还款
5,48,70687,2336083851067511747,个人账户8714,2019-01-02 07:04:04,还款
6,319,71006,7685712410855030070,对公账户8267,2019-01-02 11:12:28,代扣
7,74,71080,8173448813031303082,个人账户4500,2019-01-02 17:04:33,ATM取款
8,40,71120,7417268220637406377,对公账户6772,2019-01-03 09:36:00,ATM取款
9,30,71150,7225442486051870385,对公账户3745,2019-01-03 10:08:24,理财产品支出
10,90,71240,7225153334483261734,对公账户5862,2019-01-03 10:21:21,ATM取款
11,1245,72485,5150723151171825138,对公账户0275,2019-01-03 14:25:26,代扣
