,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,9648,72146,1501825731003322724,个人账户5247,2019-01-01 02:57:07,代扣
1,154,72300,4674613568681873473,对公账户2374,2019-01-01 05:24:00,代扣
2,1525,73825,7500142023738587522,个人账户4886,2019-01-01 09:38:52,还款
3,14,73839,4033802824215865105,对公账户0715,2019-01-01 10:09:07,代扣
4,979,74818,7384812601877568545,个人账户7552,2019-01-01 17:51:21,ATM取款
5,6,74824,5150723151171825138,对公账户0275,2019-01-01 18:06:28,理财产品支出
6,44,74868,1705818161255878302,个人账户2388,2019-01-02 10:09:50,代扣
7,26,74894,5782155683883002586,对公账户5404,2019-01-02 13:04:48,ATM取款
8,4,74898,8173448813031303082,个人账户4500,2019-01-02 17:26:09,还款
9,632,75530,2332854227741740736,对公账户0835,2019-01-02 21:56:09,还款
10,65,75595,4665105312016856251,个人账户4357,2019-01-03 01:06:14,理财产品支出
11,97,75692,6726525773288842824,个人账户3726,2019-01-03 02:28:19,理财产品支出
12,810,76502,7868886002236450477,个人账户5467,2019-01-03 06:04:19,理财产品支出
13,2571,79073,4848238248201008656,对公账户3556,2019-01-03 07:54:28,代扣
