,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,43,14904,7312528263071167660,对公账户6375,2019-01-01 08:29:45,代扣
1,203,15107,7056135884560382775,对公账户7416,2019-01-01 15:09:21,ATM取款
2,38,15145,8173448813031303082,个人账户4500,2019-01-01 16:05:31,还款
3,23,15168,3688081428617737488,对公账户8535,2019-01-01 19:22:04,还款
4,122,15290,2336083851067511747,个人账户8714,2019-01-01 22:55:55,理财产品支出
5,12,15302,2760530232530051310,个人账户4135,2019-01-02 05:46:19,代扣
6,66,15368,2760530232530051310,个人账户4135,2019-01-02 06:36:00,理财产品支出
7,20,15388,2662285435774616353,个人账户0511,2019-01-02 12:15:07,理财产品支出
8,17,15405,8258687417877216408,个人账户3860,2019-01-02 13:06:57,理财产品支出
9,18,15423,5105620285780572412,个人账户2147,2019-01-02 16:40:48,代扣
10,2442,17865,3234636574803125518,个人账户4841,2019-01-02 16:45:07,ATM取款
11,47,17912,3040860326164267010,对公账户7171,2019-01-02 22:09:07,ATM取款
12,11,17923,6321884201064420254,个人账户4441,2019-01-02 23:11:45,ATM取款
13,44760,62683,7056135884560382775,对公账户7416,2019-01-03 02:43:26,ATM取款
