,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,-5138,700,5243218323140151211,中国工商银行6216,2019-01-01 00:06:28,代扣
1,-77,623,3326731455076610218,中国建设银行分行8084,2019-01-01 00:08:38,ATM取款
2,2535,3158,3040860326164267010,对公账户7171,2019-01-01 11:09:36,转账
3,-1589,1569,1262568613806626344,中国工商银行2106,2019-01-01 11:31:12,代扣
4,-1364,205,1484617434708470227,中国工商银行6453,2019-01-01 12:01:26,还款
5,359,564,2837878456130245682,对公账户0632,2019-01-01 12:20:52,转账
6,-370,194,5428507888503517183,个人账户6481,2019-01-01 13:21:21,转账
7,1517,1711,4782572380851461116,对公账户6884,2019-01-01 18:34:33,转账
8,-23,1688,2750376673822844406,中国银行分行6755,2019-01-01 19:22:04,还款
9,627,2315,2336083851067511747,个人账户8714,2019-01-01 22:17:02,转账
10,-34,2281,8473580406358421624,对公账户1408,2019-01-01 22:25:40,转账
11,3,2284,6726525773288842824,个人账户3726,2019-01-01 22:51:36,转账
12,-5,2279,3234636574803125518,个人账户4841,2019-01-02 01:07:40,转账
13,2259,4538,4634746801720120164,对公账户4863,2019-01-02 02:16:48,转账
14,-704,3834,2006400645105081500,快捷支付单位1868,2019-01-02 02:53:31,消费
15,3177,7011,2638311523036810504,个人账户8606,2019-01-02 06:42:28,转账
16,44,7055,7225442486051870385,对公账户3745,2019-01-02 06:46:48,转账
17,-685,6370,3126173853772234740,线下商家1550,2019-01-02 09:35:16,消费
18,217,6587,7417268220637406377,对公账户6772,2019-01-02 11:53:31,转账
19,-46,6541,7225442486051870385,对公账户3745,2019-01-02 13:15:36,转账
20,-2793,3748,8057411436064271128,中国建设银行分行8016,2019-01-02 17:34:48,代扣
21,5556,9304,6827410807645701524,对公账户4277,2019-01-02 18:56:52,转账
22,58,9362,7384812601877568545,个人账户7552,2019-01-02 22:43:40,转账
23,-2149,7213,8847170631713867123,对公账户2852,2019-01-02 23:59:16,转账
24,-69,7144,4171080121464248175,中国工商银行5254,2019-01-03 01:58:04,代扣
25,322,7466,5105620285780572412,个人账户2147,2019-01-03 07:04:48,转账
26,-108,7358,4782572380851461116,对公账户6884,2019-01-03 08:59:16,转账
27,-446,6912,3788455575676646137,个人账户0720,2019-01-03 10:01:55,转账
28,-6,6906,2285241231357051064,线下商家2380,2019-01-03 11:04:33,消费
29,-3,6903,1501825731003322724,个人账户5247,2019-01-03 12:09:21,转账
30,2971,9874,7611642317557366550,对公账户3384,2019-01-03 13:05:31,转账
31,46,9920,2231186114807048470,对公账户3781,2019-01-03 16:04:48,转账
32,-8,9912,6827410807645701524,对公账户4277,2019-01-03 22:40:04,转账
