,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,-2,82052,2662285435774616353,个人账户0511,2019-01-01 04:51:36,转账
1,-16,82036,5371270530174284624,个人账户3120,2019-01-01 05:19:40,转账
2,-90,81946,1136267018324701174,某网商银行4836,2019-01-01 05:41:16,代扣
3,-44,81902,5383528081461543632,中国银行分行7120,2019-01-01 06:15:50,代扣
4,40,81942,8532356116011623885,个人账户3225,2019-01-01 09:41:02,转账
5,-2226,79716,6206436620333337022,线下商家1533,2019-01-01 10:00:28,消费
6,34346,114062,6130340126202866247,个人账户1758,2019-01-01 11:18:14,转账
7,-8,114054,1804351052733487701,个人账户1768,2019-01-01 15:41:45,转账
8,-17,114037,2270826326254638252,某网商银行8022,2019-01-01 19:37:12,ATM取款
9,-218,113819,1136267018324701174,某网商银行4836,2019-01-01 20:07:26,ATM取款
10,-8101,105718,4362675418142658807,对公账户6757,2019-01-01 20:13:55,转账
11,-1231,104487,4848238248201008656,对公账户3556,2019-01-02 00:07:12,转账
12,-1031,103456,1262568613806626344,中国工商银行2106,2019-01-02 01:50:52,理财产品支出
13,6178,109634,4036051052673206846,个人账户2885,2019-01-02 03:49:40,转账
14,2752,112386,7056135884560382775,对公账户7416,2019-01-02 04:11:16,转账
15,69,112455,2332854227741740736,对公账户0835,2019-01-02 09:00:43,转账
16,167,112622,5371270530174284624,个人账户3120,2019-01-02 09:33:07,转账
17,-4565,108057,4400267477472013402,线下商家2026,2019-01-02 10:14:09,消费
18,353,108410,7685712410855030070,对公账户8267,2019-01-02 14:35:31,转账
19,-329,108081,1484182021666727521,对公账户0116,2019-01-02 15:48:57,转账
20,-93,107988,8355562402220127205,线下商家3523,2019-01-02 19:44:24,消费
21,5749,113737,1705662173201283036,个人账户6330,2019-01-02 22:35:02,转账
22,4409,118146,1501825731003322724,个人账户5247,2019-01-02 23:42:00,转账
23,-43148,74998,2170454182021032726,个人账户5256,2019-01-03 06:02:09,转账
24,-13,74985,1241555182010681232,中国工商银行4210,2019-01-03 07:30:43,还款
25,-7944,67041,1050128862471677173,个人账户2362,2019-01-03 10:14:52,转账
26,7895,74936,7827205622842583108,对公账户2732,2019-01-03 12:52:33,转账
27,-33,74903,8263673451534275228,对公账户2757,2019-01-03 13:01:12,转账
28,-59,74844,7166608104856232428,中国工商银行1772,2019-01-03 13:20:38,ATM取款
29,27,74871,7556448258887488431,个人账户2051,2019-01-03 18:10:04,转账
30,13,74884,8532356116011623885,个人账户3225,2019-01-03 18:29:31,转账
31,-27864,47020,3787688607261252746,中国建设银行分行6722,2019-01-03 19:51:36,代扣
32,-39,46981,2837878456130245682,对公账户0632,2019-01-03 20:06:43,转账
33,-16097,30884,8847170631713867123,对公账户2852,2019-01-03 22:31:26,转账
34,-4355,26529,4381258224744041582,对公账户1312,2019-01-03 23:06:00,转账
