,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,1033,9341,4634746801720120164,对公账户4863,2019-01-01 00:47:31,转账
1,-25,9316,2841263322211007766,某第三方支付平台6036,2019-01-01 00:51:50,理财基金转账
2,-76,9240,5424324407215364430,农业银行分行0580,2019-01-01 02:46:19,代扣
3,351,9591,2837878456130245682,对公账户0632,2019-01-01 03:42:28,转账
4,-18,9573,3706217347735653014,个人账户7844,2019-01-01 05:58:33,转账
5,-33,9540,8231873671372281653,农业银行分行2785,2019-01-01 10:30:43,还款
6,-25,9515,1804351052733487701,个人账户1768,2019-01-01 13:10:33,转账
7,-42,9473,4234554074182733101,对公账户8620,2019-01-01 13:23:31,转账
8,-1131,8342,7620207878050172783,中国工商银行7386,2019-01-01 13:36:28,理财产品支出
9,3,8345,2842265488874277676,个人账户1108,2019-01-01 17:55:40,转账
10,3661,12006,4424313822765527173,个人账户2565,2019-01-01 18:32:24,转账
11,-67,11939,2006400645105081500,快捷支付单位1868,2019-01-01 19:54:28,消费
12,-241,11698,8847170631713867123,对公账户2852,2019-01-01 22:53:45,转账
13,1231,12929,7642126487284100065,个人账户1517,2019-01-02 00:07:12,转账
14,-4654,8275,4478783651812178522,中国工商银行8052,2019-01-02 01:55:12,代扣
15,13674,21949,8173448813031303082,个人账户4500,2019-01-02 03:15:07,转账
16,-399,21550,8178088736330476642,农业银行分行4644,2019-01-02 03:19:26,还款
17,765,22315,3040860326164267010,对公账户7171,2019-01-02 16:53:45,转账
18,-3,22312,1762711283065401843,线下商家0060,2019-01-02 17:00:14,消费
19,492,22804,1634184723026836286,个人账户6512,2019-01-02 17:45:36,转账
20,-702,22102,5150723151171825138,对公账户0275,2019-01-02 18:50:24,转账
21,-2334,19768,6068723276816226480,个人账户2847,2019-01-02 19:24:57,转账
22,-71,19697,4817722340014540284,中国银行分行3547,2019-01-02 22:50:09,理财产品支出
23,-2927,16770,1705818161255878302,个人账户2388,2019-01-02 23:31:12,转账
24,-34,16736,2841263322211007766,某第三方支付平台6036,2019-01-03 03:13:40,消费
25,-1587,15149,8541571425717386818,对公账户7678,2019-01-03 06:25:55,转账
26,-2571,12578,3800764168318458421,某网商银行0571,2019-01-03 07:54:28,代扣
27,-275,12303,4380373728787548430,农业银行分行4425,2019-01-03 10:27:50,代扣
28,46964,59267,1484182021666727521,对公账户0116,2019-01-03 16:09:07,转账
29,-28,59239,7162167505781386105,个人账户2075,2019-01-03 17:37:40,转账
30,-37,59202,3685006327343825328,个人账户3714,2019-01-03 19:14:52,转账
