,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,47,71096,2332854227741740736,对公账户0835,2019-01-01 00:15:07,代扣
1,2289,73385,8263673451534275228,对公账户2757,2019-01-01 03:01:26,ATM取款
2,5,73390,4665105312016856251,个人账户4357,2019-01-01 03:07:55,ATM取款
3,18,73408,5371270530174284624,个人账户3120,2019-01-01 03:25:12,还款
4,913,74321,4047787756075014648,对公账户2723,2019-01-01 04:34:19,代扣
5,2641,76962,3706217347735653014,个人账户7844,2019-01-01 04:49:26,理财产品支出
6,62,77024,7370313177143858417,对公账户0855,2019-01-01 11:07:26,理财产品支出
7,30395,107419,5060643256327401206,对公账户4336,2019-01-01 12:53:16,还款
8,19,107438,5060643256327401206,对公账户4336,2019-01-01 13:27:50,理财产品支出
9,32,107470,6130340126202866247,个人账户1758,2019-01-01 21:29:31,还款
10,17,107487,5105620285780572412,个人账户2147,2019-01-02 18:39:36,还款
11,63,107550,3574608026857801237,对公账户8882,2019-01-03 09:40:19,ATM取款
12,20,107570,4171280767631541757,对公账户5201,2019-01-03 16:56:38,还款
