,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,315,31565,3706217347735653014,个人账户7844,2019-01-01 23:13:12,还款
1,624,32189,8587462542344436585,个人账户8258,2019-01-02 02:38:24,代扣
2,72,32261,3788455575676646137,个人账户0720,2019-01-02 03:54:00,理财产品支出
3,14,32275,8473580406358421624,对公账户1408,2019-01-02 09:39:36,还款
4,46,32321,8208084885872523311,对公账户5500,2019-01-02 21:41:02,代扣
5,7,32328,8258687417877216408,个人账户3860,2019-01-02 23:52:48,代扣
6,22,32350,1705818161255878302,个人账户2388,2019-01-03 04:44:24,还款
7,109,32459,4033802824215865105,对公账户0715,2019-01-03 06:10:48,理财产品支出
8,25,32484,8448854470861604367,个人账户0866,2019-01-03 06:38:52,理财产品支出
9,559,33043,7868886002236450477,个人账户5467,2019-01-03 17:00:57,理财产品支出
