,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,746,4734,3040860326164267010,对公账户7171,2019-01-01 09:02:09,还款
1,33,4767,8587462542344436585,个人账户8258,2019-01-01 09:49:40,代扣
2,371,5138,4047787756075014648,对公账户2723,2019-01-01 09:51:50,ATM取款
3,165,5303,5428507888503517183,个人账户6481,2019-01-01 21:57:36,ATM取款
4,497,5800,4036051052673206846,个人账户2885,2019-01-02 17:21:50,还款
5,17,5817,7417268220637406377,对公账户6772,2019-01-02 22:58:48,代扣
6,40,5857,4530117075736517838,对公账户4708,2019-01-03 04:07:40,还款
7,4,5861,8173448813031303082,个人账户4500,2019-01-03 06:41:02,理财产品支出
8,43,5904,2830457671667676231,对公账户3666,2019-01-03 14:06:00,理财产品支出
9,216,6120,5150723151171825138,对公账户0275,2019-01-03 15:06:28,ATM取款
10,1137,7257,6130340126202866247,个人账户1758,2019-01-03 15:56:09,ATM取款
11,11,7268,4381258224744041582,对公账户1312,2019-01-03 18:07:55,还款
