,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,5138,72407,3688081428617737488,对公账户8535,2019-01-01 00:06:28,代扣
1,23,72430,8847170631713867123,对公账户2852,2019-01-01 11:26:52,ATM取款
2,11,72441,8587462542344436585,个人账户8258,2019-01-01 12:14:24,ATM取款
3,13347,85788,8532356116011623885,个人账户3225,2019-01-01 15:33:07,理财产品支出
4,2743,88531,1484182021666727521,对公账户0116,2019-01-03 02:17:31,理财产品支出
5,667,89198,8263673451534275228,对公账户2757,2019-01-03 07:22:04,ATM取款
6,21,89219,2837878456130245682,对公账户0632,2019-01-03 07:39:21,理财产品支出
7,907,90126,3536511800076085472,个人账户0632,2019-01-03 17:03:07,还款
8,2019,92145,7868886002236450477,个人账户5467,2019-01-03 20:32:38,还款
9,20,92165,6078771087330822224,对公账户5018,2019-01-03 21:48:14,ATM取款
