,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,156,84291,8173448813031303082,个人账户4500,2019-01-01 00:12:57,还款
1,3971,88262,7556448258887488431,个人账户2051,2019-01-01 03:10:04,理财产品支出
2,138,88400,2700266110320162302,对公账户6131,2019-01-01 03:23:02,还款
3,1998,90398,4634746801720120164,对公账户4863,2019-01-01 12:44:38,理财产品支出
4,12119,102517,6726525773288842824,个人账户3726,2019-01-01 19:50:09,理财产品支出
5,481,102998,2760530232530051310,个人账户4135,2019-01-01 23:54:14,理财产品支出
6,13,103011,4782572380851461116,对公账户6884,2019-01-02 04:26:24,还款
7,8693,111704,7420417414035838233,个人账户4560,2019-01-02 20:55:40,还款
8,1554,113258,4628127456536286746,个人账户7502,2019-01-03 04:53:02,理财产品支出
9,13,113271,7642126487284100065,个人账户1517,2019-01-03 07:30:43,还款
10,78,113349,7685712410855030070,对公账户8267,2019-01-03 16:54:28,ATM取款
11,1041,114390,5211830681633081007,个人账户0128,2019-01-03 17:18:14,ATM取款
12,135,114525,2760530232530051310,个人账户4135,2019-01-03 18:55:26,代扣
13,2223,116748,4036051052673206846,个人账户2885,2019-01-03 19:19:12,理财产品支出
