,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,556,9799,6321884201064420254,个人账户4441,2019-01-01 01:52:19,消费
1,591,10390,2778508366477637267,个人账户0488,2019-01-01 02:29:02,消费
2,267,10657,7685712410855030070,对公账户8267,2019-01-01 13:38:38,消费
3,42,10699,3121581147734832125,个人账户7253,2019-01-01 13:58:04,消费
4,24,10723,6726525773288842824,个人账户3726,2019-01-02 03:00:00,消费
5,3,10726,4848238248201008656,对公账户3556,2019-01-02 17:00:14,消费
6,8548,19274,5371270530174284624,个人账户3120,2019-01-03 01:21:21,消费
7,770,20044,2760530232530051310,个人账户4135,2019-01-03 02:06:43,消费
8,1981,22025,7500142023738587522,个人账户4886,2019-01-03 09:59:45,消费
9,14,22039,7237858333123538843,个人账户5616,2019-01-03 10:12:43,消费
10,8,22047,3788455575676646137,个人账户0720,2019-01-03 15:25:55,消费
