,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,7,94788,4506452052874828283,个人账户3627,2019-01-01 19:15:36,消费
1,127,94915,6526386766103684323,个人账户5468,2019-01-01 21:25:12,消费
2,6,94921,4424313822765527173,个人账户2565,2019-01-01 22:12:43,消费
3,433,95354,6078771087330822224,对公账户5018,2019-01-01 22:23:31,消费
4,2602,97956,7611642317557366550,对公账户3384,2019-01-02 02:42:43,消费
5,36,97992,4782572380851461116,对公账户6884,2019-01-02 03:36:43,消费
6,27,98019,1501825731003322724,个人账户5247,2019-01-02 10:16:19,消费
7,19,98038,5211830681633081007,个人账户0128,2019-01-02 15:55:26,消费
8,312,98350,2638311523036810504,个人账户8606,2019-01-02 18:05:02,消费
9,20,98370,5782155683883002586,对公账户5404,2019-01-02 19:35:45,消费
10,27,98397,5782155683883002586,对公账户5404,2019-01-02 21:02:09,消费
11,176,98573,4047787756075014648,对公账户2723,2019-01-03 13:24:57,消费
