,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,479,54860,2638311523036810504,个人账户8606,2019-01-01 01:48:00,消费
1,50,54910,1758211032370816214,个人账户7228,2019-01-01 07:16:19,消费
2,43,54953,7420417414035838233,个人账户4560,2019-01-01 07:40:04,消费
3,6,54959,5782155683883002586,对公账户5404,2019-01-01 08:14:38,消费
4,2226,57185,7642126487284100065,个人账户1517,2019-01-01 10:00:28,消费
5,32,57217,2700266110320162302,对公账户6131,2019-01-01 14:17:31,消费
6,49,57266,7370313177143858417,对公账户0855,2019-01-02 05:05:16,消费
7,20,57286,1466482728151605388,个人账户1240,2019-01-02 15:05:45,消费
8,2294,59580,1705662173201283036,个人账户6330,2019-01-02 18:15:50,消费
9,55,59635,7685712410855030070,对公账户8267,2019-01-03 00:46:48,消费
10,2,59637,5371270530174284624,个人账户3120,2019-01-03 07:37:12,消费
11,95,59732,4047787756075014648,对公账户2723,2019-01-03 15:45:21,消费
