,amount,balance,oppositeAccount,oppositeAccountName,time,type
0,30,55467,3040860326164267010,对公账户7171,2019-01-01 13:19:12,消费
1,1690,57157,5105620285780572412,个人账户2147,2019-01-02 05:24:43,消费
2,24,57181,4665105312016856251,个人账户4357,2019-01-02 09:28:48,消费
3,952,58133,2778508366477637267,个人账户0488,2019-01-02 15:57:36,消费
4,27,58160,5088273664510725035,个人账户7833,2019-01-03 03:54:43,消费
5,113,58273,5371270530174284624,个人账户3120,2019-01-03 04:46:33,消费
6,901,59174,7370313177143858417,对公账户0855,2019-01-03 05:01:40,消费
7,1,59175,7556448258887488431,个人账户2051,2019-01-03 12:02:52,消费
8,1,59176,7225153334483261734,对公账户5862,2019-01-03 16:22:04,消费
9,37987,97163,6526386766103684323,个人账户5468,2019-01-03 23:57:50,消费
